importance (shuffled_loss - orig_loss),feature,disease
0.04694536960062882,days_to_birth,OV
0.03300665268845044,ENSG00000260628_exp,OV
0.022249602772773373,cg07788138_meth,OV
0.01942058907727806,cg26464596_meth,OV
0.017512470019706263,cg22417398_meth,OV
0.017297689837783778,ENSG00000198113_exp,OV
0.017132539908434035,cg03098643_meth,OV
0.016448240308172886,ENSG00000182718_exp,OV
0.016280722489667485,cg03595428_meth,OV
0.016153779427657437,ENSG00000100105_exp,OV
0.015755902851095998,cg22190114_meth,OV
0.015274910079727502,ENSG00000157456_exp,OV
0.014889891818385095,ENSG00000127663_exp,OV
0.0141534877493794,cg00469635_meth,OV
0.014033125641051672,ENSG00000272343_exp,OV
0.013615186153637462,cg15843823_meth,OV
0.01263835094118557,cg13002506_meth,OV
0.012518084471010807,cg11639651_meth,OV
0.012477484479604074,ENSG00000127423_exp,OV
0.012319450549117206,ENSG00000110218_exp,OV
0.01226329476494835,cg00382991_meth,OV
0.012079241846260882,ENSG00000147364_exp,OV
0.012008805946077363,ENSG00000226784_exp,OV
0.01195080563470088,cg07759587_meth,OV
0.011907176609241973,ENSG00000138623_exp,OV
0.011842063292917086,ENSG00000138316_exp,OV
0.011645065551076287,cg14211646_meth,OV
0.011632904467003158,cg00406844_meth,OV
0.011312185581311073,ENSG00000242992_exp,OV
0.011178987531527192,ENSG00000279164_exp,OV
0.011090962275167641,ENSG00000226540_exp,OV
0.01106910735393718,ENSG00000272732_exp,OV
0.011065432930320609,ENSG00000134057_exp,OV
0.010967058340431287,ENSG00000223551_exp,OV
0.0109268853927281,ENSG00000139734_exp,OV
0.010891169037207167,ENSG00000102359_exp,OV
0.010863227392453613,ENSG00000231991_exp,OV
0.010850989300374623,ENSG00000129682_exp,OV
0.010811583707263293,cg21282997_meth,OV
0.010586328319037004,ENSG00000188643_exp,OV
0.010566248558198777,cg07114894_meth,OV
0.01054535623726427,ENSG00000125538_exp,OV
0.010534931458633465,ENSG00000259230_exp,OV
0.010531804354398402,ENSG00000163704_exp,OV
0.01051021392580446,ENSG00000128849_exp,OV
0.010416842291427352,ENSG00000244119_exp,OV
0.01038413149560851,ENSG00000178252_exp,OV
0.01025853026254501,ENSG00000198046_exp,OV
0.010232514195538882,cg18869368_meth,OV
0.010188360889678215,cg16158681_meth,OV
0.010136909983162511,ENSG00000130635_exp,OV
0.00990971268178014,cg19704039_meth,OV
0.009871331429613963,ENSG00000100526_exp,OV
0.00985038422132868,mutation_load,OV
